Filename	Scale	Power	Dauers
F1.txt	0.0	0.0	20
F2.txt	0.005	0.0	2790
F3.txt	0.01	0.0	1978
F4.txt	0.015	0.0	2734
F5.txt	0.02	0.0	1170
F6.txt	0.025	0.0	398
F7.txt	0.030000000000000002	0.0	394
F8.txt	0.035	0.0	390
F9.txt	0.04	0.0	386
F10.txt	0.045	0.0	382
F11.txt	0.049999999999999996	0.0	378
F12.txt	0.05499999999999999	0.0	552
F13.txt	0.05999999999999999	0.0	722
F14.txt	0.06499999999999999	0.0	714
F15.txt	0.06999999999999999	0.0	706
F16.txt	0.075	0.0	700
F17.txt	0.08	0.0	692
F18.txt	0.085	0.0	684
F19.txt	0.09000000000000001	0.0	678
F20.txt	0.09500000000000001	0.0	670
F21.txt	0.10000000000000002	0.0	664
F22.txt	0.10500000000000002	0.0	815
F23.txt	0.11000000000000003	0.0	806
F24.txt	0.11500000000000003	0.0	797
F25.txt	0.12000000000000004	0.0	942
F26.txt	0.12500000000000003	0.0	932
F27.txt	0.13000000000000003	0.0	922
F28.txt	0.13500000000000004	0.0	910
F29.txt	0.14000000000000004	0.0	900
F30.txt	0.14500000000000005	0.0	890
F31.txt	0.15000000000000005	0.0	880
F32.txt	0.15500000000000005	0.0	1012
F33.txt	0.16000000000000006	0.0	1000
F34.txt	0.16500000000000006	0.0	988
F35.txt	0.17000000000000007	0.0	977
F36.txt	0.17500000000000007	0.0	965
F37.txt	0.18000000000000008	0.0	952
F38.txt	0.18500000000000008	0.0	941
F39.txt	0.19000000000000009	0.0	1060
F40.txt	0.1950000000000001	0.0	1048
F41.txt	0.2	0.0	1036
F42.txt	0.0	0.005	20
F43.txt	0.005	0.005	2790
F44.txt	0.01	0.005	1978
F45.txt	0.015	0.005	2734
F46.txt	0.02	0.005	1171
F47.txt	0.025	0.005	398
F48.txt	0.030000000000000002	0.005	394
F49.txt	0.035	0.005	390
F50.txt	0.04	0.005	386
F51.txt	0.045	0.005	382
F52.txt	0.049999999999999996	0.005	378
F53.txt	0.05499999999999999	0.005	552
F54.txt	0.05999999999999999	0.005	722
F55.txt	0.06499999999999999	0.005	714
F56.txt	0.06999999999999999	0.005	707
F57.txt	0.075	0.005	700
F58.txt	0.08	0.005	692
F59.txt	0.085	0.005	684
F60.txt	0.09000000000000001	0.005	678
F61.txt	0.09500000000000001	0.005	670
F62.txt	0.10000000000000002	0.005	664
F63.txt	0.10500000000000002	0.005	815
F64.txt	0.11000000000000003	0.005	806
F65.txt	0.11500000000000003	0.005	798
F66.txt	0.12000000000000004	0.005	942
F67.txt	0.12500000000000003	0.005	932
F68.txt	0.13000000000000003	0.005	922
F69.txt	0.13500000000000004	0.005	912
F70.txt	0.14000000000000004	0.005	900
F71.txt	0.14500000000000005	0.005	890
F72.txt	0.15000000000000005	0.005	880
F73.txt	0.15500000000000005	0.005	1012
F74.txt	0.16000000000000006	0.005	1000
F75.txt	0.16500000000000006	0.005	989
F76.txt	0.17000000000000007	0.005	977
F77.txt	0.17500000000000007	0.005	965
F78.txt	0.18000000000000008	0.005	954
F79.txt	0.18500000000000008	0.005	942
F80.txt	0.19000000000000009	0.005	1062
F81.txt	0.1950000000000001	0.005	1049
F82.txt	0.2	0.005	1036
F83.txt	0.0	0.01	20
F84.txt	0.005	0.01	2790
F85.txt	0.01	0.01	1978
F86.txt	0.015	0.01	2734
F87.txt	0.02	0.01	1171
F88.txt	0.025	0.01	398
F89.txt	0.030000000000000002	0.01	394
F90.txt	0.035	0.01	390
F91.txt	0.04	0.01	386
F92.txt	0.045	0.01	382
F93.txt	0.049999999999999996	0.01	378
F94.txt	0.05499999999999999	0.01	552
F95.txt	0.05999999999999999	0.01	722
F96.txt	0.06499999999999999	0.01	714
F97.txt	0.06999999999999999	0.01	708
F98.txt	0.075	0.01	700
F99.txt	0.08	0.01	692
F100.txt	0.085	0.01	684
F101.txt	0.09000000000000001	0.01	678
F102.txt	0.09500000000000001	0.01	670
F103.txt	0.10000000000000002	0.01	664
F104.txt	0.10500000000000002	0.01	815
F105.txt	0.11000000000000003	0.01	807
